,Unnamed: 0.1,Unnamed: 0,prompt,opt1,opt2,pred,act,lang,label
3575,3575,85,This animal roars like a dog,: The beast roars,That animal does not roar,0,1,kn,wrong
2873,2873,135,This animal roars like a lion,: The beast roars,That animal does not roar,0,0,kn,correct
3894,3894,404,A polio dose is essential to prevent covid,A booster dose is necessary,A booster dose is not necessary,0,1,kn,wrong
3408,3408,670,A booster dose is necessary to prevent covid,A booster dose is necessary,A booster dose is not necessary,0,0,kn,correct
5689,5689,54,A cage is a bird's mouth,A car always spoils a person,A car always kisses and sings,1,1,yo,correct
6029,6029,48,Agbekek is a prayerful person,A car always spoils a person,A car makes people love you,1,0,yo,wrong
3098,3098,360,A cat is a pet like a dog,A cat is a domestic animal,A cat is not a pet,0,0,kn,correct
3698,3698,208,A cat is domesticated like a tiger,A cat is a domestic animal,A cat is not a pet,0,1,kn,wrong
6181,6181,200,"If the son of Bé knows how to eat, he will eat it","A child who knows what to do, will be close to the elders",A son of Bé who knows how to behave like the elders,1,0,yo,wrong
6182,6182,201,The son of Dé does not know his hand,"A child who knows what to do, will be close to the elders",A son of Bé who knows how to behave like the elders,0,1,yo,wrong
5852,5852,217,Ajumobi is not just pitiful,A close person does not say to be sorry,A close person can make someone feel sorry,1,1,yo,correct
6196,6196,215,A foreigner can do it unfortunately,A close person does not say to be sorry,A close person can make someone feel sorry,1,0,yo,wrong
5780,5780,145,"Aja Tifhe took the shoes off my feet, my feet were restless",A dog loves me,Dog Love eats bones,1,1,yo,correct
6112,6112,131,I prefer not to play with Tife's dog,A dog loves me,Dog Love eats bones,1,0,yo,wrong
3816,3816,326,The shape of football is flat,A football is round in shape,Football is not round in shape,0,1,kn,wrong
3258,3258,520,The shape of football is round,A football is round in shape,Football is not round in shape,0,0,kn,correct
4175,4175,239,A friendly group when there are many people like the house next to the railroad tracks,A friendly group if there are a lot of people crowded together,A friendly group when there are many people who are quiet and silent.,0,0,su,correct
4176,4176,240,A friendly group when there are many people is like a house in the middle of the forest.,A friendly group if there are a lot of people crowded together,A friendly group when there are many people who are quiet and silent.,1,1,su,correct
1126,1126,128,The politician my father chose was a reliable player.,A good and experienced politician.,Inexperienced politician.,0,0,id,correct
1127,1127,129,The politician my father chose was like a child yesterday afternoon.,A good and experienced politician.,Inexperienced politician.,1,1,id,correct
4932,4932,396,The stranger is like an accident.,A guest was expected to come.,A stranger came suddenly.,1,1,sw,correct
4931,4931,395,The stranger is like the setting sun.,A guest was expected to come.,A stranger came suddenly.,0,0,sw,correct
4334,4334,398,Too much knowledge can make a person like swimming in a pond full of piranhas.,A lot of knowledge can make a person smart,A lot of knowledge can make people stupid.,1,1,su,correct
4532,4532,192,Too much knowledge can make a human being like a bag of worms chasing its prey,A lot of knowledge can make a person smart,A lot of knowledge can make people stupid.,1,0,su,wrong
2216,2216,78,A mother's patience with her children is like a moringa leaf,A mother's patience with her children is very wide,A mother's patience with her children is very narrow,1,1,jv,correct
2215,2215,77,A mother's patience with her children is like an ocean,A mother's patience with her children is very wide,A mother's patience with her children is very narrow,0,0,jv,correct
6206,6206,225,Our house is going soft,A person is not a bad thing for those around him,A person is not something that harms those around him,0,1,yo,wrong
5858,5858,223,We don't breathe soft close,A person is not a bad thing for those around him,A person is not something that harms those around him,0,0,yo,correct
6333,6333,352,Dayo is a lizard,A person who can cause harm is Dayo,A person who can benefit is Dayo,0,1,yo,wrong
6334,6334,353,Dayo is a dove,A person who can cause harm is Dayo,A person who can benefit is Dayo,1,0,yo,wrong
5857,5857,222,A god left you to use it?,A person who does not give birth to more than one child is not different from a person who does not give birth at all,A person who has many children is different from a person who does not have many,0,0,yo,correct
6205,6205,224,A god does not leave empty-handed,A person who does not give birth to more than one child is not different from a person who does not give birth at all,A person who has many children is different from a person who does not have many,0,1,yo,wrong
4301,4301,365,An honest person is usually like a lotus flower in water,A person who is honest and calm,Honest people are busy.,0,0,su,correct
4511,4511,171,An honest person is usually like a hungry goat in a cage.,A person who is honest and calm,Honest people are busy.,0,1,su,wrong
4698,4698,162,A promise is a debt,A promise must be kept,Promises do not have to be given,0,0,sw,correct
5409,5409,49,A promise is a gift,A promise must be kept,Promises do not have to be given,0,1,sw,wrong
1708,1708,710,A student must have a soul like an Olympic athlete.,A student must have a tough soul.,A student must have a vulnerable soul.,0,0,id,correct
1709,1709,711,A student must have a soul like a hospital patient.,A student must have a tough soul.,A student must have a vulnerable soul.,1,1,id,correct
389,389,389,The true ruler is the one who sees everyone as a stone.,A true ruler treats everyone well.,A true ruler treats everyone badly.,1,1,hi,correct
388,388,388,The true ruler is the one who sees everyone as gold.,A true ruler treats everyone well.,A true ruler treats everyone badly.,0,0,hi,correct
76,76,76,There is an abyss in the play.,A very deep meaning has been shown in the play.,"In the drama, only the superficial show is shown.",1,1,hi,correct
75,75,75,The play is as deep as a well.,A very deep meaning has been shown in the play.,"In the drama, only the superficial show is shown.",0,0,hi,correct
6177,6177,196,A woman is good,A violent woman,A gentle woman,1,0,yo,wrong
5845,5845,210,Pamínkú you are a woman,A violent woman,A gentle woman,1,1,yo,correct
5693,5693,58,Abeni made a variety of soups yesterday as well as those who are cooking,Abeni made different kinds of soup yesterday,Abeni did not cook different kinds of soup yesterday,0,0,yo,correct
5694,5694,59,He made a variety of soup that was not tasty yesterday.,Abeni made different kinds of soup yesterday,Abeni did not cook different kinds of soup yesterday,1,1,yo,correct
5672,5672,37,Abike has a clear understanding of midwifery and foreign doctors,Abike knows midwifery well,Abike does not know midwifery at all,0,0,yo,correct
5673,5673,38,Abike has a brief understanding of midwifery and foreign doctors,Abike knows midwifery well,Abike does not know midwifery at all,1,1,yo,correct
1907,1907,25,"Like a child missing his mother, ever since he moved to another country.","Abroad, he always misses his homeland.",Abroad he forgot his homeland.,1,0,id,wrong
1085,1085,87,"Like a peanut forgets its shell, since he moved to another country.","Abroad, he always misses his homeland.",Abroad he forgot his homeland.,1,1,id,correct
4738,4738,202,Abu is my son,Abuu is my best friend,Abuu is not my best friend,0,0,sw,correct
4739,4739,203,Abu is not my son,Abuu is my best friend,Abuu is not my best friend,1,1,sw,correct
1039,1039,41,"According to him, wandering is an endless war.","According to him, wandering is thrilling.","According to him, wandering is suffocating.",1,1,id,correct
1038,1038,40,"According to him, wandering is an adventure to find identity.","According to him, wandering is thrilling.","According to him, wandering is suffocating.",0,0,id,correct
4317,4317,381,Accusing others of being ugly is like a person spitting at the sky,Accusing others of being ugly makes you look bad,Accuse others of being ugly and spread kindness to yourself.,0,0,su,correct
4521,4521,181,Accusing others of being ugly is like spreading a flower nursery along the road.,Accusing others of being ugly makes you look bad,Accuse others of being ugly and spread kindness to yourself.,0,1,su,wrong
2637,2637,97,"Actually, living in a foreign country is like filling a bucket with water","Actually, living abroad is useless","Actually, living abroad is beneficial",0,1,jv,wrong
2301,2301,163,"Actually, living in a foreign country is like breaking a water bottle","Actually, living abroad is useless","Actually, living abroad is beneficial",0,0,jv,correct
5934,5934,299,Ádísá is a close-headed child,Addisá is a child without a teacher,Adísá is a child who does not have a son,1,1,yo,correct
6304,6304,323,Ádísá is an ordinary person,Addisá is a child without a teacher,Adísá is a child who does not have a son,1,0,yo,wrong
1200,1200,202,Ade climbs the mountain at night without enough light like a blind man from a ghost cave.,Ade carefully climbs the mountain at night under the light.,Ade groped up the mountain at night under the light.,1,1,id,correct
