labels,z
0,angels
1,an animal
0,a knife
1,a piano
0,the whole room
1,menace like a small sparrow holding an axe
0,a pool of happiness
1,a sea of ​​sorrow
0,fire
1,fire in the wind
0,a hotel
1,home
0,a piece of cake
1,a prison sentence
0,the ruler
1,the charcoal
0,tomorrow
1,the nation
0,my ears
1,chiriku
0,a cough
1,a grain of flour in rice
0,smoke
1,a long journey
0,porridge
1,it
0,me
1,the throat
0,an ax cutting championship
1,a handicap championship
0,my eyes
1,a sermon in my mouth
0,the family
1,the family
0,the near future
1,in the near future
0,war
1,cake
0,the door open
1,the door open
0,gold
1,a rusty soul
0,a compass
1,a chicken with its head
0,a giraffe
1,a duck
0,a treasure
1,tennis
0,a river in spring
1,a river in summer
0,his chest
1,ice
0,it
1,a snail
0,they
1,sacredly
0,someone without nails
1,sweats
0,your bowl
1,just
0,no lengths without ends
1,it
0,a turtle
1,he
0,you
1,you
0,the head
1,you
0,his feet
1,his feet
0,enough to fill the ocean
1,a second
0,four squares
1,a mustard seed
0,the dark
1,a lot of chicken
0,the shade
1,the sun
0,thorns
1,bread and tea
0,a friend
1,a friend
0,full swing
1,a disaster
0,his mouth
0,he
1,politics
0,you
1,a snot
0,sufficient light
1,oil
0,furiously
1,just
0,hot water
1,water
0,her mother 's death
1,a guitar song for him
0,society
1,his room
0,an iron fist
1,a female fist
0,a foreign chicken
1,others like a zebra
0,him
1,howled
0,a very foul mouth
1,the bible
0,lukewarm
1,warm
0,the trees
1,he
0,no chest
1,a chest
0,a Sahara desert
1,the grass of a football field
0,a wedding
1,a breeze
0,black blood
1,a teacher
0,a rabbit
1,a sheep
0,chameleons
1,a thief 's eye
0,a bee
1,a rooster
0,a big fire in the middle of the night
1,a large black hole in the center of the vacuum
0,a Nuclear bomb
1,a slow song
0,steel
1,plastic
0,a child
1,trash
0,a spider 's web
1,the sky
0,a Greek god
1,a joker
0,Lake Tanganyika
1,deep
0,a farm
1,the city
0,death
1,he
0,a Feather
1,yesterday 's bread
0,Oxygen
1,a noose
0,a small child
1,a train
0,the soul
1,a killer
0,mango juice from the fig tree
1,a burning tire
0,King Suleiman
1,Kibarua
0,Antarctica
1,Lava
0,a stick
1,a baobab
0,a Grasshopper
1,a turtle
0,a clown
1,a good doll
0,a mouse
1,an elephant
0,as easy as pushing a drunkard
1,as hard as pushing a wall
0,a human being
1,a human walking
0,a mother carrying her child
1,stool
0,a Lion
1,the Python who swallowed his prey
0,ice
1,clockwork
0,Concrete
1,glass
0,ink
1,the country 's budget
0,the world
1,the sea
0,tiger
1,chameleon
0,medicine
1,a medicine
0,ants
1,cheetahs
0,the ocean
1,a river
0,a red flower
1,a black flower
0,a cigarette
1,a case of baboon
0,a pastor
1,a heathen
0,a dog
1,a dog
0,a library
1,a bug
0,a jar
1,he
0,wisdom
1,wisdom
0,me
1,life
0,a rocket
1,a snail
0,celebrations
1,celebration
0,an army of children
1,a group of children
0,a debt
1,a gift
0,debt
1,debt
0,the clouds
1,a goat 's tail
0,an oven
1,a fridge
0,my heart
1,my heart
0,the same pot
1,a ring and a finger
0,a potato
1,the head
