labels,z
0,it
1,you
0,silk
1,lightning
0,a thief
1,a brick
0,a night market
1,a demon 's house
0,Monday
1,kakap
0,my brother
1,a witch
0,a jasmine garden
1,pee
0,people
1,a cemetery
0,a snail
1,a fool
0,a pillow
1,a stone
0,like yesterday
1,it
0,a track
1,a day
0,the coconut tree
1,the palm tree
0,a lamp
1,a lamp
0,a deer
1,an ant
0,cucumbers
1,bared
0,a kitiran
1,a buffalo
0,Arjuna
1,Ravana
0,asphalt road
1,the road to the grave
0,a trip to the desert
1,a trip to the poles
0,he
1,
0,rain
1,raining money
0,it
1,it
0,a firecracker
1,his nose which was like a nose
0,Chinese craki
1,a blaba uda
0,a bull
1,a hungry tiger
0,water and oil
1,mimi and mituna
0,a cloud of coriander
1,a chicken breast
0,brintik
1,cornflowers
0,onion skin
1,tripe skin
0,a dark caterpillar
1,a sweet caterpillar
0,it
1,a lazy person
0,a dove cage
1,an ant 's arm
0,an iron mentality
1,tempeh
0,Siti 's face
1,a leaf
0,shining water
1,shining honey
0,tamarind
1,java sugar
0,a gig
1,a mesh exhaust
0,
1,
0,you
1,a liyep lindri
0,spring water
1,battery water
0,a pair of panties
1,a brush hitting the door
0,a moringa leaf
1,the width of the leaves of tales
0,a skinny watermelon
1,a fat date
0,Dewi Sembadra
1,Buta Cakil
0,the clouds
1,burning candles
0,red chili
1,red
0,a tela tree
1,electricity
0,a coconut
1,a cat 's hair
0,you
1,swimming ducks
0,the sky
1,the earth
0,eels
1,those of a snail
0,a pole
1,a desert
0,heaven
1,hell
0,he
1,he
0,the shrimp brain
1,thin brain
0,a palace
1,a house
0,Abdi
1,Abdi
0,a ram
1,a white sheep
0,a big side
1,a big one
0,3 days
1,he
0,a machine
1,a snail
0,lions
1,turtles
0,a stone
1,tofu
0,a solo princess
1,a thug
0,Romeo and Juliet
1,a dog and a cat
0,rice
1,an empty barrel
0,Werkudara
1,Puntadewa
0,an ocean
1,a moringa leaf
0,the core of the earth
1,a pole
0,the sun
1,a cloud
0,snow
1,charcoal
