labels,z
0,a hospital
1,a fish market
0,a war land
1,the temple itself
0,friends
1,enemies
0,a temple
1,a traffic jam
0,an old man
1,a youth
0,a young man
1,an old man
0,blood
1,water
0,a tortoise
1,that of a rabbit
0,the telephone
1,mobile
0,millet
1,Maggi
0,a playground
1,a classroom
0,that of a champion
1,a loser
0,a football
1,the size of a golf ball
0,a king
1,a servant
0,a merchant
1,a farmer
0,a worm
1,a bird
0,smoking
1,meditation
0,a dinosaur
1,an elephant
0,oxygen to breathe
1,carbon dioxide for respiration
0,a car to reach that place
1,that place
0,the festive meal
1,the breakfast
0,a plane ticket
1,a movie ticket
0,a rock
1,glass
0,reading
1,as easy as coding
0,a traditional dress Panche
1,a traditional dress suit
0,science
1,magic
0,that
1,that
0,politicians
1,a citizen
0,the desert
1,the desert
0,the summit
1,the summit
0,a forest
1,the city
0,petroleum
1,water
0,food
1,food
0,the rainy season
1,summer
0,the Taj Mahal
1,a government office
0,neem
1,jaggery
0,the moon
1,the cinema
0,a World Cup
1,as boring as winning the World Cup
0,education
1,the journey itself
0,Gmail
1,Orkut
0,much protein as eggs
1,rice
0,a vegetable
1,junk food
0,dry fruits
1,vegetables
0,a solar eclipse
1,it
0,Ambani
1,common people
0,the waterfall
1,a traffic jam
0,a library
1,a bus station
0,a comet
1,stars
0,UPSC
1,IBPIS
0,the formula itself
1,verse
0,an egg
1,a ring
0,an artist
1,a lawyer
0,football
1,hockey
0,the victory
1,the defeat
0,war
1,Shanti
0,a palace
1,a government office
0,a mirror
1,a wall
0,the Statue of Unity
1,two pillars
0,as good as saving money
1,as good as spending money
0,music
1,fireworks
0,a horror movie
1,a comedy
0,as easy as making Maggi
1,as easy as making biryani
0,a 100 - meter dash
1,about as fast as running a marathon
0,the sunrise
1,noon
0,a job offer
1,a job layoff
0,a magic show
1,the online class
0,a scholar
1,a graduate
0,the Nile
1,Kaveri
0,a damn
1,mud
0,fire
1,water
0,a party
1,testing
0,an ant
1,a cat
0,a knife
1,a pencil
0,illegal
1,love
0,glass
1,stone
0,the accident
1,a dance show
0,the palace itself
1,the shopping mall
0,Arjuna
1,Ravana
0,gold
1,the Kohinoor diamond
0,a scientist
1,the driver
0,a criminal
1,a monk
0,thunder
1,music
0,Dwarka
1,Bangalore
0,cotton
1,stone
0,night
1,that morning
0,the ocean
1,so deep
0,a cab ride
1,a flight ticket
0,a spring
1,a thread
0,coding
1,as confusing as typing
0,the new moon
1,the full moon
0,an island
1,a city
0,Earth
1,Venus
0,black soil
1,the desert
0,food made at home
1,hotel food
0,a lemon
1,a banana
0,as difficult as climbing a mountain
1,the road
0,rubber
1,stone
0,the market
1,the library
0,cricket
1,football
0,as soft as woolen
1,a rock
0,tamarind
1,apples
0,own
1,Mine
0,an eagle
1,a crow
0,a fox
1,a dog
0,a dog
1,a fox
0,a lion
1,a fox
0,an ox
1,a deer
0,an owl
1,a parrot
0,a volcano in anger
1,ice in anger
0,a bird
1,an animal
0,a lion
1,a dog
0,idli
1,sandwich
0,a dam
1,a tank
0,the sea
1,the well
0,the sea
1,water
0,a monkey
1,an elephant
0,size
1,size
0,a computer
1,unbelievably fast
0,a flyover
1,a tunnel
0,a doughnut
1,hard
0,soap
1,a squash
0,a soldier
1,a militant
0,glass
1,copper
0,a home made snack
1,a roadside snack
0,an apple
1,pasta
0,bitter gourd
1,mango
0,a bore well
1,a house tank
0,a starfish
1,a whale
0,a jaggery
1,neem
0,that of a son
1,that of Rani Chennamma
0,bread
1,a puff
0,sea water
1,they
0,the full moon
1,the darkness of the new moon
0,a cold breeze
1,a storm
0,a model
1,a village lady
0,as healthy as ragimudde
1,a burger
0,a koala
1,a frog
0,Rambe
1,Shurpanaki
0,a bed
1,hard ground
0,a lake
1,a river
0,Sky Drive
1,a walk
0,the writer
1,a comedian
0,ice cream
1,soup
0,an idli
1,a dosa
0,gold
1,a diamond
0,attractive colors like the bow of lust
1,a white board
0,a new building
1,an old monument
0,a whisper
1,a loud voice
0,grandma
1,a newborn baby
0,a full moon day
1,a new moon day
0,a baby
1,grandfather
0,an officer
1,a beggar
0,bread
1,bread
0,the sky
1,the earth
0,a square
1,a circle
0,a ship
1,a boat
0,the singer
1,a dancer
0,a bullock cart
1,a jet
0,a child
1,an adult
0,an elephant
