,Unnamed: 0,prompt,opt1,opt2,pred,act,lang,label
0,0,दोस्ती एक फलदार वृक्ष है।,दोस्ती मददगार होती है।,दोस्ती नुकसान दायक होती है।,0,0,hi,correct
1,1,दोस्ती एक जहरीला वृक्ष है।,दोस्ती मददगार होती है।,दोस्ती नुकसान दायक होती है।,1,1,hi,correct
2,2,कालिदास भारत के शेक्सपियर हैं।,कालिदास मुर्ख हैं।,कालिदास बुद्धिमान हैं।,1,1,hi,correct
3,3,यह खबर उनके दिल में फूलों की खुशबु लाई।,ख़ुशी की खबर लाई।,दुःख की खबर लाई।,0,0,hi,correct
4,4,यह खबर उनके दिल में तीर की तरह चुभ गई।,ख़ुशी की खबरलाई।,दुःख की खबर लाई।,1,1,hi,correct
5,5,उदयसिंह परिवार के कलंक हैं।,उदयसिंह परिवार को समाज में नीचा दिखाते हैं।,उदयसिंह परिवार को समाज में ऊँचे दर्जे पर लेजाते हैं।,0,0,hi,correct
6,6,उदयसिंह परिवार के सितारे हैं।,उदयसिंह परिवार को समाज में नीचा दिखाते हैं।,उदयसिंह परिवार को समाज में ऊँचे दर्जे पर लेजाते हैं।,1,1,hi,correct
7,7,जीवन एक सत्य है।,जीवन हकीकत है।,जीवन एक मिथ्या है।,0,0,hi,correct
8,8,जीवन एक सपना है।,जीवन हकीकत है।,जीवन एक मिथ्या है।,1,1,hi,correct
9,9,जीवन फूलों की सेज नहीं है।,जीवन में खुशिओं भी होती हैं।,जीवन में दुःख भी आते हैं।,1,1,hi,correct
10,10,बदला एक प्रकार का सभ्य न्याय है।,बदला लेना अच्छा है।,बदला लेना अच्छा नहीं है।,0,0,hi,correct
11,11,बदला एक प्रकार का जंगली न्याय है।,बदला लेना अच्छा है।,बदला लेना अच्छा नहीं है।,1,1,hi,correct
12,12,बचपन जीवन का अंधकार है।,बचपन जीवन का कठिन समय होता है।,बचपन जीवन का सबसे सही होता है।,0,0,hi,correct
13,13,बचपन जीवन का सवेरा है।,बचपन जीवन का कठिन समय होता है।,बचपन जीवन का सबसे सही होता है।,1,1,hi,correct
14,14,वह आजकल स्फूर्ति में व्यस्त है।,वह बहुत बढ़िया काम कर रहा है।,वह काम चोरी कर रहा है।,0,0,hi,correct
15,15,वह आजकल आलस्य में व्यस्त है।,वह बहुत बढ़िया काम कर रहा है।,वह काम चोरी कर रहा है।,1,1,hi,correct
16,16,यह एक खुली किताब है।,"यह नेक इंसान हैं, यह सब जानते हैं।",यह नेक हैं या नहीं इसके बारे में कोई नहीं जनता।,0,0,hi,correct
17,17,यह एक छुपा रहस्य है।,"यह नेक इंसान हैं, यह सब जानते हैं।",यह नेक हैं या नहीं इसके बारे में कोई नहीं जनता।,1,1,hi,correct
18,18,जीवन मीठा करेला है।,जीवन अच्छा है।,जीवन बुरा है।,0,0,hi,correct
19,19,उसका गुस्सा बर्फ की सिल्ली सा है।,उसका गुस्सा जल्दी उतर जाता है।,उसको गुस्सा बहुत ज्यादा आता है।,0,0,hi,correct
20,20,उसका गुस्सा चाकू की धार सा है।,उसका गुस्सा जल्दी उतर जाता है।,उसको गुस्सा बहुत ज्यादा आता है।,1,1,hi,correct
21,21,लड़का छड़ी की तरह पतला है।,लड़का बहुत पतला है।,लड़का बहुत मोटा है।,0,0,hi,correct
22,22,लड़का फूटबाल की तरह गोल है।,लड़का बहुत पतला है।,लड़का बहुत मोटा है।,1,1,hi,correct
23,23,रोहन का प्यार मीठे जामुन की तरह है।,रोहन का प्यार सच्चा है।,रोहन का प्यार झूठा है।,0,0,hi,correct
24,24,रोहन का प्यार कड़वे बैंगन की तरह है।,रोहन का प्यार सच्चा है।,रोहन का प्यार झूठा है।,1,1,hi,correct
25,25,वह अपने समूह का हाथी है।,वह समूह में सबसे डरपोक है।,वह समूह में सबसे निडर है।,1,1,hi,correct
26,26,वो जलेबी की तरह सीधा है।,वो मासूम है।,वो चालक है।,1,1,hi,correct
27,27,जीवन एक गाँव की गली है।,जीवन बहुत छोटा होता है।,जीवन बहुत लम्बा होता है।,0,0,hi,correct
