,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
0,Her word had the strength of titanium.,Her promises can be believed.,Her promises cannot be trusted.,0,titanium,"strong, durable, versatile","Her word had the strength of titanium. Characteristics of titanium include: strong, durable, versatile."
1,Her word had the strength of a wine glass.,Her promises can be believed.,Her promises cannot be trusted.,1,glass,"transparent, fragile, reflective","Her word had the strength of a wine glass. Characteristics of glass include: transparent, fragile, reflective."
2,His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss is unemotional.,0,lovers,"passionate, devoted, enamored","His kisses have the passion of lovers meeting after a long separation. Characteristics of lovers include: passionate, devoted, enamored."
3,His kisses have the passion of a couple in a loveless marriage.,His kisses are demonstrative and intense.,His kiss is unemotional.,1,marriage,"Sacred, transformative, binding","His kisses have the passion of a couple in a loveless marriage. Characteristics of marriage include: Sacred, transformative, binding."
4,This winter is as cold as my mother-in-law towards me,It's very cold,It's pretty warm,0,mother-in-law,"complicated, challenging, misunderstood","This winter is as cold as my mother-in-law towards me. Characteristics of mother-in-law include: complicated, challenging, misunderstood."
5,This winter is as cold as Death Valley at noon,It's very cold,It's pretty warm,1,Valley,"serene, tranquil, hidden","This winter is as cold as Death Valley at noon. Characteristics of Valley include: serene, tranquil, hidden."
6,The dog was as grumpy as an old man,he was mean,he was nice,0,man,"strong, assertive, resilient","The dog was as grumpy as an old man. Characteristics of man include: strong, assertive, resilient."
7,The dog was as grumpy as a kindergarten teacher,he was mean,he was nice,1,teacher,"knowledgeable, inspiring, patient","The dog was as grumpy as a kindergarten teacher. Characteristics of teacher include: knowledgeable, inspiring, patient."
8,The voyage was as long as a lifetime,The voyage was very long,The voyage as short.,0,lifetime,"Unforgettable, transformative, profound","The voyage was as long as a lifetime. Characteristics of lifetime include: Unforgettable, transformative, profound."
9,The voyage was as long as the blink of an eye,The voyage was very long,The voyage as short.,1,eye,"mystical, observant, expressive","The voyage was as long as the blink of an eye. Characteristics of eye include: mystical, observant, expressive."
10,He had all the wealth of a tycoon,He was rich.,He was poor.,0,tycoon,"wealthy, powerful, influential","He had all the wealth of a tycoon. Characteristics of tycoon include: wealthy, powerful, influential."
11,He had all the wealth of a hobo,He was rich.,He was poor.,1,hobo,"disheveled, free-spirited, resourceful","He had all the wealth of a hobo. Characteristics of hobo include: disheveled, free-spirited, resourceful."
12,It smells like a freshly baked cookies on Christmas morning,It smells great,It smells awful,0,cookies,"delicious, comforting, irresistible","It smells like a freshly baked cookies on Christmas morning. Characteristics of cookies include: delicious, comforting, irresistible."
13,It smells like a cesspool sitting in the hot sun,It smells great,It smells awful,1,cesspool,"repugnant, putrid, revolting","It smells like a cesspool sitting in the hot sun. Characteristics of cesspool include: repugnant, putrid, revolting."
14,The conversation is a bank vault,The conversation is worthwhile.,The conversation is meaningless.,0,vault,"secure, hidden, sturdy","The conversation is a bank vault. Characteristics of vault include: secure, hidden, sturdy."
15,The conversation is a 25 cent off coupon,The conversation is worthwhile.,The conversation is meaningless.,1,coupon,"economic, frugal, beneficial","The conversation is a 25 cent off coupon. Characteristics of coupon include: economic, frugal, beneficial."
16,The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push didn't work well.,0,bulldozer,"powerful, unstoppable, destructive","The motivational push was a bulldozer. Characteristics of bulldozer include: powerful, unstoppable, destructive."
17,The motivational push was a light breeze,The motivational push was very motivating.,The motivational push didn't work well.,1,breeze,"light, refreshing, effortless","The motivational push was a light breeze. Characteristics of breeze include: light, refreshing, effortless."
18,Money is a helpful stranger,Money is good,Money is bad,0,stranger,"Mysterious, unfamiliar, enigmatic","Money is a helpful stranger. Characteristics of stranger include: Mysterious, unfamiliar, enigmatic."
19,Money is a murderer,Money is good,Money is bad,1,murderer,"gruesome, remorseless, deceitful","Money is a murderer. Characteristics of murderer include: gruesome, remorseless, deceitful."
20,The conversation was the OJ Simpson trial,The conversation was long,The conversation was short,0,trial,"challenging, uncertain, transformative","The conversation was the OJ Simpson trial. Characteristics of trial include: challenging, uncertain, transformative."
21,The conversation was a cigarette break,The conversation was long,The conversation was short,1,break,"Fragmented, disruptive, transformative","The conversation was a cigarette break. Characteristics of break include: Fragmented, disruptive, transformative."
22,The seas on the voyage were glass,The seas were calm,The seas were rough,0,seas,"Vast, unpredictable, captivating","The seas on the voyage were glass. Characteristics of seas include: Vast, unpredictable, captivating."
23,The seas on the voyage were a rock quarry,The seas were calm,The seas were rough,1,quarry,"deep, hidden, elusive","The seas on the voyage were a rock quarry. Characteristics of quarry include: deep, hidden, elusive."
24,The student was as helpful as medicine,he was a big help,he was not needed,0,medicine,"healing, transformative, vital","The student was as helpful as medicine. Characteristics of medicine include: healing, transformative, vital."
25,The student was as helpful as a punch in the face,he was a big help,he was not needed,1,punch,"powerful, swift, forceful","The student was as helpful as a punch in the face. Characteristics of punch include: powerful, swift, forceful."
26,Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship is lacking passion.,0,Miami,"vibrant, cosmopolitan, tropical","Their relationship has the heat of Miami in August. Characteristics of Miami include: vibrant, cosmopolitan, tropical."
27,Their relationship has the heat of an igloo.,Their relationship is passionate,Their relationship is lacking passion.,1,igloo,"insulating, cozy, snowy","Their relationship has the heat of an igloo. Characteristics of igloo include: insulating, cozy, snowy."
