labels,z
0,coffee
1,a banana
1,a witch
0,he
0,a baby
1,at all
1,a stupid child who was sent to buy Osan
0,a child who knows how to work
0,a bird of prey
1,a child
0,the tiger
1,Igbin
0,a model in singing
1,poetry
0,born yesterday
1,legs
1,his house
0,his house
1,the rock of Olumu
0,a wealthy bride
1,burning coal
0,the value he has just bought from the ocher land
1,the King
0,chief
1,his anger
0,the dance hall
0,bed
1,beauty
1,all the men in the community
0,all the men in the area
1,crooks
0,compassionate
0,a bird
1,a monkey
0,a fish
1,home
0,the tree
1,the tree
0,anyone
1,anyone
0,a dog at the running game
1,a mosquito at the running game
1,Xalápé
0,Amala
0,a person who had not eaten for six years
1,a drunk
0,those of my brother who sells Cocoa
1,the bag like that of my brother who sells cocoa
0,Aremu
1,Aremu
1,i
0,douyin
1,you
0,you
0,it
1,brave enough to die
1,a fire in Álamú 's heart
0,our family
0,that of a heart
1,that of a bat
1,that of a snake
0,no problems
0,we
1,we
0,midwifery and foreign doctors
1,midwifery and foreign doctors
1,the person who put them in the washing machine
0,the ones I just washed this morning
1,that
0,Ojo
0,a dead silence
1,the Osodi market
0,a dead body in the snow
1,the house
0,work
1,work
0,the tree
1,yesterday
1,the boss
0,the boss
1,30 years
0,30 years
0,his father
1,Idowwu
1,the top of the hill
0,a mountain
1,Oranmiyan 's staff
0,those of a child
0,that of the people of Oyo
1,that of Egun
0,water
1,yesterday 's water
0,a dove 's
1,a dove 's
0,a lizard
1,he
1,an elephant 's coat
0,kind
0,a heavenly person
1,a heavenly person
1,a paramole
0,Paramole
1,a bird 's mouth
0,a prayerful person
0,he
1,Ifá
0,their father who is in prison
1,along
0,who
1,that
0,about eleven cups of water
1,water
1,a fire
0,people
1,him
0,brides
1,a playsuit
0,the clothes of the king of the house of love
1,a leper
0,a leper
1,a dog
0,a lion who is about to leave
0,water
1,water
0,the wind
1,fire
0,a bag full of large stones
1,heavy at all
1,the lips of a weeder
0,the lips of one who pulls a forest
1,a pig
0,a pig
1,a pregnant woman giving birth
0,he
0,rich
1,a dancer
0,a weed tree
1,spoke
0,a baby
